# rootname800                                     ,Mo,No,psffwhm,asecpix,skybg,skybgstd,x0peak,y0peak,x0col,y0col,x0A1fit,y0A1fit,x0A3fit,y0A3fit,a,b,PAdeg,InFit1D,RnFit1D,nFit1D,xsin,x0Fit2D,y0Fit2D,InFit2D,RnFit2D,nFit2D,qFit2D,PAFit2D,LT,R10,R20,R30,R40,R50,R60,R70,R80,R90,Rp,C1,C2,ABG,A0,A1,A2,A3,A4,S1,S3,G,M20,psi,sigma_psi,H,IRkurvmedian,IRkurvmad,QF,
4941229_u                                         ,41.00000000,49.00000000,5.80655059,0.77781746,0.00079166,0.01031511,22.52950709,18.54757615,22.64574458,19.89081427,23.77803181,19.89081427,23.07086209,20.68111723,4.21209401,2.66308758,11.40830675,0.00868645,9.00000000,0.50360528,72.32119065,22.29672427,18.82669907,0.00028943,63.88571681,6.33046554,0.29122222,172.30487966,3.54921246,2.63241157,4.24085902,5.54540437,6.96344247,9.53312851,11.16405682,16.85456420,18.21062432,20.05105512,12.11070498,0.63287100,0.32290178,0.26208410,0.39407660,0.00000000,0.74079817,0.34313487,11.13277939,0.00449966,1.36558369,0.51601283,0.37149348,1.63295192,1.06584573,0.88988521,-0.48575138,1.16380950,96.00000000,
4941897_u                                         ,91.00000000,75.00000000,5.80655059,0.77781746,0.00008980,0.01029356,36.51612663,42.50811837,36.67544148,42.80285193,37.35489876,43.31270090,36.87746759,43.10883116,3.52571815,2.34294803,126.81572933,0.01142835,5.99999320,1.88658758,54.44400363,36.80224781,42.55629243,0.00317330,18.78025427,18.57953252,0.23574103,128.89687405,4.78803825,1.95989752,2.93540999,3.76732353,4.63330443,5.78886480,7.33460271,8.86876222,11.31799430,13.66888939,17.56942468,0.58610070,0.37313982,0.14557019,0.54581915,0.00766257,0.64483767,0.46974695,1.90692621,0.01447541,0.56095802,0.58599669,0.64686507,1.60253442,0.86890123,0.83806896,0.46183374,0.45631293,0.00000000,
4942396_u                                         ,127.00000000,135.00000000,5.80655059,0.77781746,0.00029985,0.01026875,65.50074799,60.51184819,65.55573412,61.19171106,66.50172448,61.83466648,66.17366473,62.09146217,3.24070117,2.75007011,15.89013575,0.01193131,13.58457041,0.50000922,62.91226760,65.32520443,60.98478385,0.00007878,185.34821665,8.04228395,0.71909980,174.36299517,15.26523304,2.97183217,5.40993376,8.78682687,11.68494752,15.15724213,17.93624121,22.18902988,27.29751651,31.85651278,26.14484040,0.70293119,0.32257805,0.41955540,0.53955880,0.00834382,0.66196698,0.65654427,2.60886214,0.02147364,0.72965958,0.56959976,0.57915138,1.56861979,0.75471610,0.79426606,0.55692122,1.05002748,32.00000000,
4942469_u                                         ,69.00000000,71.00000000,5.80655059,0.77781746,-0.00038696,0.01037809,33.52742969,31.51209825,34.05184268,32.22842642,33.41337063,32.42985408,33.97481025,33.09593577,4.19759076,2.50818189,128.60199500,0.00807842,4.00000000,49.99833335,142.50735997,34.08323415,31.45836674,0.00391210,9.57717694,21.00000000,0.23022277,126.92593453,1.28257394,2.84161762,3.59065735,4.24892905,4.90782626,5.63950534,6.45519206,7.30274460,8.17164762,9.19214615,13.31479358,0.35713567,0.21217591,0.11675410,0.81723891,0.00000000,0.89026396,0.60896507,6.66754375,0.01211378,1.17291414,0.44900856,1.12117330,1.64198921,0.90657321,0.87935466,-0.51969358,1.94593999,0.00000000,
4942771_u                                         ,101.00000000,97.00000000,5.80655059,0.77781746,0.00112598,0.01023408,45.51539245,48.51905624,46.04355784,49.25867123,47.35844686,50.07459066,47.33075663,50.55818305,3.08335078,2.97343715,159.35502036,0.00098715,27.99999918,2.58569677,153.78436845,45.57698092,48.57022921,0.00102165,21.57634026,2.70766200,1.00000004,160.44837013,21.88374901,3.77839073,7.20097200,11.07183446,15.74354659,21.03336511,27.60779639,36.88705642,45.88351709,51.01015833,30.53732573,0.80426558,0.38474791,0.97707063,0.07182710,0.02478261,0.59017817,0.78912394,2.97615901,0.03980510,0.77352484,0.55560925,0.33464327,1.55931939,0.79922660,0.79871316,0.64876774,1.56603630,0.00000000,
4943059_u                                         ,71.00000000,191.00000000,5.80655059,0.77781746,0.00204129,0.01038004,86.50469895,32.51462408,91.74501934,33.50729861,94.80566829,34.04431326,95.05094056,32.66972177,6.99190564,2.08335208,5.31211662,0.00214077,56.99999761,2.12620082,71.09405981,90.08388101,33.21562974,0.00514383,53.70899061,1.40222821,0.23934478,5.20040577,45.30474091,10.79926473,18.60939529,25.39951994,34.24534905,42.60154216,53.46822407,70.60687485,84.86285720,98.30408833,59.72738726,0.65898539,0.36314626,0.62420356,0.21619672,0.06581153,0.44133338,0.60549859,8.92976104,0.04598212,0.64113939,0.53845325,0.18597395,1.30380210,1.27891236,0.80295501,-0.73327673,2.87495129,0.00000000,
4943559_u                                         ,91.00000000,83.00000000,5.80655059,0.77781746,0.00007108,0.01014434,39.50708471,46.50657702,39.53203919,47.25600245,38.54373821,47.25600245,40.32102790,48.02355457,4.60355730,3.28243190,162.26522105,0.00305504,4.99999998,49.93577432,246.93586926,38.04759298,44.98425212,0.00011769,95.41021573,18.95851809,0.05000950,113.65647921,1.37675714,3.03644761,4.06378951,5.04697536,6.15573507,7.39598629,8.87771336,10.96080266,12.11894785,13.13860840,15.09625777,0.47453371,0.24955327,0.01581643,0.75196947,0.00000000,0.93567325,0.54452245,4.96706398,0.00179439,0.93901062,0.55092808,1.15704425,1.54880162,0.88109369,0.80527157,0.19862764,1.66051890,32.00000000,
4943728_u                                         ,75.00000000,73.00000000,5.80655059,0.77781746,0.00120289,0.01034975,34.52510367,35.54655746,35.06152276,36.54496617,35.30218112,36.97335339,33.99761934,38.68189711,2.94529504,2.52172445,134.79548243,0.00428757,15.56915166,1.88613762,20.81719437,34.69715634,36.30240217,0.00011360,104.64865356,12.80943770,0.80501134,135.24243235,14.33261204,2.12218495,3.57404747,5.31154181,7.86399326,10.46967239,14.41900451,18.45992767,25.18281926,31.92749522,19.97085423,0.84794403,0.48423176,0.66253150,0.20011030,0.00822940,0.45242635,0.64224309,5.67520391,0.01566982,0.66499373,0.60936154,0.33909666,1.51819445,0.76194810,0.71926761,0.49664280,1.52656059,32.00000000,
4944699_u                                         ,77.00000000,79.00000000,5.80655059,0.77781746,0.00060257,0.01023900,37.51694969,36.52006818,37.81242129,36.69419662,39.51619789,38.69605588,37.40817565,36.90104718,4.44307196,2.27363686,39.62871649,0.00755368,18.00000000,0.50615788,67.24387842,38.00000223,37.00000158,0.00103514,47.59168721,2.83926042,0.20229640,43.51113315,6.09032726,4.05497927,7.54836854,10.74594917,19.44522213,21.89621014,26.15346668,30.38533753,34.34512227,37.13210592,26.72343049,0.65801197,0.22938063,0.34045544,0.74024603,0.01143463,0.91719298,0.87235350,1.28338244,0.00876937,0.77369768,0.53017693,0.55759795,1.65119831,0.88622640,0.87977539,0.35854810,2.09950858,0.00000000,
4945191_u                                         ,139.00000000,153.00000000,5.80655059,0.77781746,0.00176448,0.01099421,101.51750912,66.51488102,102.55962596,67.28579948,103.38561746,67.75402625,101.55623088,66.80797681,2.66570688,2.53297500,155.44482693,0.00897321,3.99999972,2.22930592,375.06817576,101.61569504,66.58083426,0.00945654,3.84095658,2.74606058,1.00000012,159.63747717,8.69428158,1.42361053,1.90516523,2.43713310,3.03594631,3.72904980,4.56894086,5.68676936,8.23290759,10.63753577,6.94916641,0.63562059,0.45524285,0.02646476,0.28638257,0.00186031,0.63596720,0.38660191,18.65364237,0.00177905,0.76795226,0.67589771,-0.24855455,1.51857007,0.45809568,0.67446181,-0.47104048,1.49912516,64.00000000,
