#FIELD,ID,X,Y,P_merg
STRIPE82-0105,SPLUS.STRIPE82-0105.64000.griz,2028.7179999999998,9820.399,0.9926992058753967
STRIPE82-0111,SPLUS.STRIPE82-0111.53975.griz,10101.511999999999,8748.476999999999,0.9954513907432556
STRIPE82-0104,SPLUS.STRIPE82-0104.14663.griz,4617.305,2571.1710000000003,0.9857481122016907
STRIPE82-0108,SPLUS.STRIPE82-0108.14878.griz,4286.925,3235.9179999999997,0.9774504899978638
STRIPE82-0110,SPLUS.STRIPE82-0110.11147.griz,6240.858,2586.266,0.9896925091743469
STRIPE82-0112,SPLUS.STRIPE82-0112.11257.griz,7744.855,2763.551,0.9966554641723633
STRIPE82-0112,SPLUS.STRIPE82-0112.15579.griz,4045.303,3490.08,0.9835863709449768
STRIPE82-0112,SPLUS.STRIPE82-0112.10566.griz,2581.781,2647.178,0.9520534873008728
STRIPE82-0114,SPLUS.STRIPE82-0114.08438.griz,7014.696,2561.389,0.9998289346694946
STRIPE82-0104,SPLUS.STRIPE82-0104.39955.griz,7112.266,5627.911,0.9985858201980591
STRIPE82-0108,SPLUS.STRIPE82-0108.29459.griz,4054.153,5419.314,0.9992340803146362
STRIPE82-0112,SPLUS.STRIPE82-0112.26090.griz,1256.85,5229.849,0.9922771453857422
STRIPE82-0102,SPLUS.STRIPE82-0102.80472.griz,9796.212,9055.425,0.997076153755188
STRIPE82-0102,SPLUS.STRIPE82-0102.86352.griz,8810.05,8587.527,0.9994335770606995
STRIPE82-0104,SPLUS.STRIPE82-0104.75146.griz,5662.988,8203.666,0.9929130673408508
STRIPE82-0106,SPLUS.STRIPE82-0106.56560.griz,9683.02,8391.354,0.9773220419883728
STRIPE82-0114,SPLUS.STRIPE82-0114.37213.griz,9527.502,8968.608,0.9994712471961975
STRIPE82-0114,SPLUS.STRIPE82-0114.40297.griz,6094.21,8352.833,0.9543970823287964
STRIPE82-0117,SPLUS.STRIPE82-0117.21912.griz,5030.778,4458.603,0.993198037147522
STRIPE82-0119,SPLUS.STRIPE82-0119.17741.griz,5480.307,3783.687,0.9964248538017273
STRIPE82-0121,SPLUS.STRIPE82-0121.15004.griz,4935.22,3906.728,0.9963470101356506
STRIPE82-0133,SPLUS.STRIPE82-0133.15513.griz,8375.507,4572.139,0.9703614711761475
STRIPE82-0149,SPLUS.STRIPE82-0149.11250.griz,3619.3259999999996,3860.21,0.981650173664093
