#FIELD,ID,P_merg,dr7objid_1,galcount,TType,objID,RA,Dec,X,Y,PhotoFlag,simple_class
STRIPE82-0008,SPLUS.STRIPE82-0008.15010.griz,0.9957634210586548,587731187279528094,144235,4.200112819671631,587731187279528094,4.2732,0.6363,5361.698,5083.803,3,SB
STRIPE82-0008,SPLUS.STRIPE82-0008.21620.griz,0.987930417060852,587731187816202380,145059,-2.1429123878479004,587731187816202380,3.8815,1.1314,7924.825,8324.164,3,Er
STRIPE82-0008,SPLUS.STRIPE82-0008.02175.griz,0.9998488426208496,588015509271281860,561709,-0.6692548990249634,588015509271281860,4.4481,0.0738,4216.326,1401.759,3,Er
STRIPE82-0008,SPLUS.STRIPE82-0008.14517.griz,0.995684027671814,588015509808218300,562818,2.3263750076293945,588015509808218300,4.4858,0.6053,3970.0,4880.931,3,Ec
STRIPE82-0009,SPLUS.STRIPE82-0009.30261.griz,0.9622672200202942,587731185669374053,141728,-2.1637659072875977,587731185669374053,5.3909,-0.5583,7322.715,6427.845,3,Er
STRIPE82-0009,SPLUS.STRIPE82-0009.34136.griz,0.9994452595710754,587731185669636133,141739,-2.3171396255493164,587731185669636133,5.9069,-0.5098,3945.014,6745.6990000000005,3,Ei
STRIPE82-0009,SPLUS.STRIPE82-0009.32314.griz,0.9938409328460693,587731185669636134,141740,-0.8797848224639893,587731185669636134,5.9075,-0.5032,3941.393,6788.929,3,Ec
STRIPE82-0009,SPLUS.STRIPE82-0009.38538.griz,0.9815214276313782,587731186206179416,142544,0.6202551126480103,587731186206179416,5.125,-0.1979,9063.148000000001,8787.216,3,Ei
STRIPE82-0009,SPLUS.STRIPE82-0009.11507.griz,0.9996030926704407,588015507660996744,558408,-2.7916011810302734,588015507660996744,5.111000000000001,-1.0609,9154.571,3137.8259999999996,3,Ei
STRIPE82-0009,SPLUS.STRIPE82-0009.06600.griz,0.9976651668548584,588015507661324375,558434,-2.0805516242980957,588015507661324375,5.814,-1.1781,4553.628,2370.905,3,Se
STRIPE82-0009,SPLUS.STRIPE82-0009.41245.griz,0.9776049256324768,588015508734738569,560654,-0.38778960704803467,588015508734738569,5.0889999999999995,-0.2532,9299.055,8425.166,3,Er
STRIPE82-0010,SPLUS.STRIPE82-0010.21774.griz,0.9999309778213501,587731187280183302,144259,-1.4796358346939087,587731187280183302,5.718,0.7656,5181.994000000001,5930.172,3,Ei
STRIPE82-0011,SPLUS.STRIPE82-0011.19690.griz,0.9588557481765747,587731186207096970,142589,-2.2789711952209473,587731186207096970,7.2899,-0.1686,4169.955,8978.621,3,Er
STRIPE82-0011,SPLUS.STRIPE82-0011.06732.griz,0.9900802969932556,588015507662045452,558470,-0.6040409803390503,588015507662045452,7.5856,-1.113,2234.687,2796.991,2,Er
STRIPE82-0011,SPLUS.STRIPE82-0011.12987.griz,0.9898747205734253,588015508198981794,559531,3.8870620727539062,588015508198981794,7.6961,-0.8203,1511.329,4712.702,3,S
STRIPE82-0011,SPLUS.STRIPE82-0011.25564.griz,0.9946240186691284,588015508735721631,560705,4.916020393371582,588015508735721631,7.4184,-0.4152,3328.715,7364.661999999999,2,Ei
STRIPE82-0012,SPLUS.STRIPE82-0012.07885.griz,0.9821042418479919,587731186744033284,143495,4.585352897644043,587731186744033284,7.3504,0.3158,3774.083,2985.821,3,Se
STRIPE82-0012,SPLUS.STRIPE82-0012.21024.griz,0.9921038150787354,587731187817447563,145095,-2.131038188934326,587731187817447563,6.6087,1.2308,8628.093,8975.494,3,Er
STRIPE82-0012,SPLUS.STRIPE82-0012.22564.griz,0.9990872144699097,587731187817709661,145107,1.8979308605194092,587731187817709661,7.2757,1.0975,4262.766,8102.342,3,Ei
STRIPE82-0012,SPLUS.STRIPE82-0012.03659.griz,0.9981877207756042,588015509272330318,561751,-0.9508596658706665,588015509272330318,6.8412,0.1439,7107.1269999999995,1860.385,3,Ei
STRIPE82-0012,SPLUS.STRIPE82-0012.03995.griz,0.9714274406433105,588015509272723610,561777,-2.2589268684387207,588015509272723610,7.7113,0.1547,1411.1670000000001,1931.362,2,Er
STRIPE82-0012,SPLUS.STRIPE82-0012.12809.griz,0.9987922310829163,588015509809594452,562867,4.707724094390869,588015509809594452,7.7174,0.5289,1371.854,4380.641,2,S
STRIPE82-0013,SPLUS.STRIPE82-0013.29847.griz,0.9921431541442871,587731185670553681,141777,-2.58027982711792,587731185670553681,8.0417,-0.6001,8526.142,6154.504,3,Ei
STRIPE82-0013,SPLUS.STRIPE82-0013.21901.griz,0.9987695813179016,588015508736049268,560723,1.5594744682312012,588015508736049268,8.1853,-0.2727,7586.215999999999,8297.634,2,Ei
STRIPE82-0014,SPLUS.STRIPE82-0014.07004.griz,0.9974002838134766,587731186744230004,143507,3.20123291015625,587731186744230004,7.8437,0.3122,9822.224,2962.095,2,S
STRIPE82-0014,SPLUS.STRIPE82-0014.08047.griz,0.9999384880065918,587731186744230008,143508,-2.145008087158203,587731186744230008,7.8447,0.3614,9815.714,3284.237,3,Er
